"Activity Period","Operating Airline","Operating Airline IATA Code","Published Airline","Published Airline IATA Code","GEO Summary","GEO Region","Activity Type Code","Price Category Code","Price Category Code_extracted",Terminal,"Boarding Area","Passenger Count"
201504,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,31
201406,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,31
201809,"WOW Air",WW,"WOW Air",WW,International,Europe,Enplaned,Other,,International,G,32
201604,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,32
201410,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,International,G,32
201407,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,32
201610,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,33
201712,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,34
201609,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,34
201209,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,35
201611,"Compass Airlines",CP,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,36
201507,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,36
201502,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,36
201406,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Enplaned,Other,,"Terminal 1",B,36
201406,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Deplaned,Other,,"Terminal 1",B,36
201310,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Enplaned,Other,,"Terminal 1",B,36
200904,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,36
200711,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,36
201506,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,37
201712,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,38
200601,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,38
201805,"WOW Air",WW,"WOW Air",WW,International,Europe,Enplaned,Other,,International,G,39
201603,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,39
201601,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,39
201211,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,39
200710,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,39
201606,"Air Pacific Limited dba Fiji Airways",FJ,"Air Pacific Limited dba Fiji Airways",FJ,International,"Australia  Oceania",Deplaned,"Low Fare","Low Fare",International,G,40
201505,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,40
201411,"AirTran Airways",FL,"AirTran Airways",FL,Domestic,US,Enplaned,"Low Fare","Low Fare","Terminal 1",B,40
201408,"United Airlines",UA,"United Airlines",UA,International,Mexico,"Thru / Transit",Other,,International,G,40
201101,Servisair,,Servisair,,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,40
201101,Servisair,,Servisair,,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,40
201010,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,40
200904,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,40
200510,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,40
201802,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,41
201704,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,41
201502,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,41
201808,"WOW Air",WW,"WOW Air",WW,International,Europe,Enplaned,Other,,International,G,42
201803,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,43
201602,"Compass Airlines",CP,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,43
201512,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,43
201607,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,44
201508,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,44
201702,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,45
200902,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,45
200611,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,45
200507,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,45
201611,"Mesa Airlines",YV,"United Airlines",UA,Domestic,US,Deplaned,Other,,"Terminal 3",E,46
201512,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,46
200907,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,46
201506,"United Airlines",UA,"United Airlines",UA,International,Canada,Deplaned,Other,,International,G,47
201402,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Deplaned,Other,,"Terminal 1",B,47
201310,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,Enplaned,Other,,"Terminal 1",C,48
201110,Servisair,,Servisair,,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,48
201110,Servisair,,Servisair,,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,48
200701,"ATA Airlines",TZ,"ATA Airlines",TZ,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,48
200701,"ATA Airlines",TZ,"ATA Airlines",TZ,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,48
201306,"Air China",CA,"Air China",CA,International,Asia,Enplaned,Other,,International,G,49
200901,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,49
201806,"WOW Air",WW,"WOW Air",WW,International,Europe,Enplaned,Other,,International,G,50
201610,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,50
201503,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,50
201310,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,Deplaned,Other,,"Terminal 1",C,50
200705,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,50
201502,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Deplaned,Other,,"Terminal 1",B,51
201501,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Enplaned,Other,,"Terminal 1",B,51
201203,Servisair,,Servisair,,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,51
201203,Servisair,,Servisair,,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,51
201806,"French Bee",BF,"French Bee",BF,International,"Australia  Oceania",Deplaned,Other,,International,A,52
201412,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Enplaned,Other,,"Terminal 1",B,52
201412,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Deplaned,Other,,"Terminal 1",B,52
201402,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Enplaned,Other,,"Terminal 1",B,52
201009,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,52
200811,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,52
200712,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,52
200607,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,52
200906,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,53
200905,"Miami Air International",GL,"Miami Air International",GL,Domestic,US,Enplaned,Other,,International,A,53
201709,"United Airlines",UA,"United Airlines",UA,International,Canada,"Thru / Transit",Other,,International,G,54
201612,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,54
200609,"BelAir Airlines",4T,"BelAir Airlines",4T,International,Europe,Enplaned,Other,,International,A,54
201710,"SkyWest Airlines",OO,"American Airlines",AA,Domestic,US,Deplaned,Other,,"Terminal 2",D,55
201704,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,55
201605,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,55
200905,"Miami Air International",GL,"Miami Air International",GL,Domestic,US,Deplaned,Other,,International,A,55
200903,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,55
201801,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,56
201701,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,56
201704,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,57
201612,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,57
201606,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,57
201212,Servisair,,Servisair,,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,57
201212,Servisair,,Servisair,,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,57
201210,Servisair,,Servisair,,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,57
201210,Servisair,,Servisair,,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,57
201205,"Air New Zealand",NZ,"Air New Zealand",NZ,International,"Australia  Oceania",Enplaned,"Low Fare","Low Fare",International,G,57
200807,"Miami Air International",GL,"Miami Air International",GL,Domestic,US,Deplaned,Other,,International,A,58
201604,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,60
200807,"Miami Air International",GL,"Miami Air International",GL,Domestic,US,Enplaned,Other,,International,A,60
200608,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,60
201708,"United Airlines",UA,"United Airlines",UA,International,"Central America",Deplaned,Other,,International,G,62
201703,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,62
201606,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,62
201310,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,62
201206,Servisair,,Servisair,,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,62
201206,Servisair,,Servisair,,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,62
200910,"Sun Country Airlines",SY,"Sun Country Airlines",SY,Domestic,US,Enplaned,"Low Fare","Low Fare","Terminal 1",B,62
200702,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,63
201401,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,64
201211,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,64
201103,Servisair,,Servisair,,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,64
201103,Servisair,,Servisair,,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,64
201002,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,64
200707,"Miami Air International",GL,"Miami Air International",GL,Domestic,US,Enplaned,Other,,International,A,64
200512,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,64
201411,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,65
201309,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Deplaned,Other,,Other,Other,65
201006,"Mesaba Airlines",XJ,"Delta Air Lines",DL,Domestic,US,Deplaned,Other,,"Terminal 1",C,65
200912,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,65
200909,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,65
200802,"ATA Airlines",TZ,"ATA Airlines",TZ,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,66
200606,"BelAir Airlines",4T,"BelAir Airlines",4T,International,Europe,Deplaned,Other,,International,A,66
201609,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,67
201411,"AirTran Airways",FL,"AirTran Airways",FL,Domestic,US,Deplaned,"Low Fare","Low Fare","Terminal 1",B,67
201311,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Deplaned,Other,,"Terminal 1",B,67
200709,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,67
201808,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,Enplaned,Other,,"Terminal 1",C,68
201510,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,68
201808,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,Deplaned,Other,,"Terminal 1",C,69
201611,"SkyWest Airlines",OO,"American Airlines",AA,Domestic,US,Deplaned,Other,,"Terminal 2",D,70
201505,"Compass Airlines",CP,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,70
200710,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,70
201703,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,71
201208,Servisair,,Servisair,,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,71
200812,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,71
201107,Servisair,,Servisair,,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,72
200801,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,72
201710,"Swissport USA",,"Swissport USA",,International,Europe,Deplaned,Other,,International,A,73
201710,"Swissport USA",,"Swissport USA",,International,Europe,Enplaned,Other,,International,A,73
201502,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,73
201005,Servisair,,Servisair,,Domestic,US,Deplaned,"Low Fare","Low Fare",International,G,73
201005,Servisair,,Servisair,,Domestic,US,Enplaned,"Low Fare","Low Fare",International,G,73
200608,"Xtra Airways",XP,"Xtra Airways",XP,Domestic,US,Enplaned,Other,,International,A,73
200608,"Xtra Airways",XP,"Xtra Airways",XP,Domestic,US,Deplaned,Other,,International,A,73
200809,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,74
200807,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,74
201711,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,75
201606,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,75
201310,Servisair,,Servisair,,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,75
201310,Servisair,,Servisair,,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,75
201605,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,76
201006,"Mesaba Airlines",XJ,"Delta Air Lines",DL,Domestic,US,Enplaned,Other,,"Terminal 1",C,76
201201,Servisair,,Servisair,,Domestic,US,Enplaned,"Low Fare","Low Fare",International,A,77
201201,Servisair,,Servisair,,Domestic,US,Deplaned,"Low Fare","Low Fare",International,A,77
201005,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,77
201409,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Deplaned,Other,,"Terminal 1",B,78
201204,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,78
200508,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,78
201111,"Mesa Airlines",YV,"US Airways",US,Domestic,US,Deplaned,Other,,"Terminal 1",B,79
200910,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,79
201311,"Republic Airlines",RW,"Republic Airlines",RW,Domestic,US,Enplaned,Other,,"Terminal 1",B,80
201708,"United Airlines",UA,"United Airlines",UA,International,"South America",Deplaned,Other,,International,G,81
201103,"Miami Air International",GL,"Miami Air International",GL,Domestic,US,Deplaned,Other,,International,A,81
200810,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,81
